,Case1,Case2,Case3,Case4,Case5,Case6,Case7,Case8,Case9,Case10,Case11,Case12,Case13,Case14,Case15,Case16,Case17,Case18,Case19,Case20,Case21,Case22,Case23,Case24,Case25,Case26,Case27,Case28,Case29,Case30,Case31,Case32,Case33,Case34,Case35,Case36,Case37,Case38,Case39,Case40,Case41,Case42,Case43,Case44,Case45,Case46,Case47,Case48,Case49,Case50,Case51,Case52,Case53,Case54,Case55,Case56,Case57,Case58,Case59,Case60,Case61,Case62,Case63,Case64,Case65,Case66,Case67,Case68,Case69,Case70,Case71,Case72,Case73,Case74,Case75,Case76,Case77,Case78,Case79,Case80,Case81,Case82,Case83,Case84,Case85,Case86,Case87,Case88,Case89,Case90,Case91,Case92,Case93,Case94,Case95,Case96,Case97,Case98,Case99,Case100,Case101,Case102,Case103,Case104,Case105,Case106,Case107,Case108,Case109,Case110,Case111,Case112,Case113,Case114,Case115,Case116,Case117,Case118,Case119,Case120,Case121
20p12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149071198,0.149071198,0,0.149071198,0.149071198,0,0,0,0,0.149071198,0,0,0.149071198,0,0,0,0,0,0,0.149071198,0,0,0.149071198,0,0.149071198,0,0,0,0,0.149071198,0,0,0.149071198,0,0.149071198,0,0,0.298142397,0.149071198,0,0,0.149071198,0,0,0,0,0,0,0,0,0,0,0.149071198,0,0,0,0,0.149071198,0,0.149071198,0,0.149071198,0,0,0.149071198,0.149071198,0,0.149071198,0.149071198,0,0,0.149071198,0,0.149071198,0.149071198,0.149071198,0,0,0,0,0.149071198,0.149071198,0.149071198,0,0,0,0.149071198,0,0.149071198,0.149071198,0.149071198,0,0,0,0.149071198,0.149071198,0.149071198,0,0.149071198,0.149071198,0,0.149071198,0.149071198,0,0,0.149071198
20p12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150755672,0.150755672,0,0.150755672,0.150755672,0,0,0,0,0.150755672,0,0,0.150755672,0,0,0,0,0,0,0.150755672,0,0,0.150755672,0,0.150755672,0,0,0,0,0.150755672,0,0,0.150755672,0,0.150755672,0,0,0.301511345,0.150755672,0,0,0.150755672,0,0,0,0,0,0,0,0,0,0,0.150755672,0,0,0,0,0.150755672,0,0.150755672,0,0.150755672,0,0,0.150755672,0.150755672,0,0.150755672,0.150755672,0,0,0.150755672,0,0.150755672,0.150755672,0.150755672,0,0,0,0,0.150755672,0.150755672,0.150755672,0,0,0,0.150755672,0,0.150755672,0.150755672,0.150755672,0,0,0,0.150755672,0.150755672,0,0,0.150755672,0.150755672,0,0.150755672,0.150755672,0,0,0.150755672
20p11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150755672,0.150755672,0,0.150755672,0.150755672,0,0,0,0,0.150755672,0,0,0.150755672,0,0,0,0,0,0,0.150755672,0,0,0.150755672,0,0.150755672,0,0,0,0,0.150755672,0,0,0.150755672,0,0.150755672,0,0,0.150755672,0.150755672,0,0,0.150755672,0,0,0,0,0,0,0,0,0,0,0.150755672,0,0,0,0,0.150755672,0,0.150755672,0,0.150755672,0,0,0.150755672,0.150755672,0,0.150755672,0.301511345,0,0,0.150755672,0,0.150755672,0.150755672,0.150755672,0,0,0,0,0.150755672,0.150755672,0.150755672,0,0,0,0.150755672,0,0.150755672,0.150755672,0.150755672,0,0,0,0.150755672,0.150755672,0,0,0.150755672,0.150755672,0,0.150755672,0.150755672,0,0,0.150755672
20p11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145864991,0.145864991,0,0.145864991,0.145864991,0,0,0,0,0.145864991,0,0,0.145864991,0,0,0,0,0,0,0.145864991,0,0,0.145864991,0,0.145864991,0,0,0,0,0.145864991,0,0,0.145864991,0,0.145864991,0,0,0.145864991,0.145864991,0,0,0.145864991,0,0,0,0,0,0,0,0,0,0,0.145864991,0,0,0,0,0.145864991,0,0.145864991,0,0.145864991,0,0,0.145864991,0.145864991,0,0.145864991,0.291729983,0,0,0.145864991,0,0.145864991,0.145864991,0.145864991,0,0,0,0,0.145864991,0.145864991,0.145864991,0,0,0,0.145864991,0,0.145864991,0.145864991,0.145864991,0,0,0,0.145864991,0.145864991,0,0,0.145864991,0.145864991,0,0.145864991,0.291729983,0,0,0.145864991
20p11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15249857,0.15249857,0,0.15249857,0.15249857,0,0,0,0,0.15249857,0,0,0.15249857,0,0,0,0,0,0,0.15249857,0,0,0.15249857,0,0.304997141,0,0,0,0,0.15249857,0,0,0.15249857,0,0.15249857,0,0,0,0.15249857,0,0,0.15249857,0,0,0,0,0,0,0,0,0,0,0.15249857,0,0,0,0,0.15249857,0,0.15249857,0,0.15249857,0,0,0.15249857,0.15249857,0,0.15249857,0.15249857,0,0,0.15249857,0,0.15249857,0.15249857,0.15249857,0,0,0,0,0.15249857,0.15249857,0.15249857,0,0,0,0.15249857,0,0.15249857,0.15249857,0.15249857,0,0,0,0.15249857,0.15249857,0,0,0.15249857,0.15249857,0,0.15249857,0.15249857,0,0,0.15249857
8p11.22,0,0,0,0,0,0,0,0.134839972,0,0.134839972,0.134839972,0,0,0.134839972,0.134839972,0.134839972,0,0,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0,0,0,0,0,0,0,0,0.134839972,0,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0.134839972,0,0.134839972,0.134839972,0.134839972,0.134839972,0,0,0.269679945,0.134839972,0,0,0,0,0.269679945,0.134839972,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0,0.134839972,0,0,0.134839972,0.134839972,0,0,0,0,0,0,0.134839972,0.134839972,0.134839972,0.134839972,0,0,0,0.134839972,0,0.134839972,0,0,0.269679945,0.134839972,0,0.134839972,0,0,0,0,0,0.134839972,0,0.134839972,0.269679945,0,0,0,0,0,0,0.134839972,0,0.134839972,0.134839972,0,0,0,0,0,0
8p11.21,0,0,0,0,0,0,0,0.134839972,0,0.134839972,0.134839972,0,0,0.134839972,0.134839972,0.134839972,0,0,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0,0,0,0,0,0,0,0,0.134839972,0,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0.134839972,0,0.134839972,0.134839972,0.134839972,0.134839972,0,0,0.269679945,0.134839972,0,0,0,0,0.269679945,0.134839972,0,0.134839972,0,0,0,0.134839972,0.134839972,0,0,0.134839972,0,0,0.134839972,0.134839972,0,0,0,0,0,0,0.134839972,0.134839972,0.134839972,0.134839972,0,0,0,0.134839972,0,0.134839972,0,0,0.269679945,0.134839972,0,0.134839972,0,0,0,0,0,0.134839972,0,0.134839972,0.269679945,0,0.134839972,0,0,0,0,0.134839972,0,0,0.134839972,0,0,0,0,0,0
8p11.23,0,0,0,0,0,0,0,0.133630621,0,0.133630621,0.133630621,0,0,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0,0,0,0,0,0,0,0.133630621,0,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0.133630621,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0.267261242,0.133630621,0,0,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0.133630621,0,0,0.133630621,0.133630621,0,0,0,0,0,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0.133630621,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0,0,0.133630621,0,0.133630621,0.267261242,0,0.133630621,0,0,0,0,0.133630621,0,0.133630621,0.133630621,0,0,0,0,0,0
20p11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15249857,0.15249857,0,0.15249857,0.15249857,0,0,0,0,0.15249857,0,0,0.15249857,0,0,0,0,0,0,0.15249857,0,0,0.15249857,0,0.15249857,0,0,0,0,0.15249857,0,0,0.15249857,0,0.15249857,0,0,0,0.15249857,0,0,0.15249857,0,0,0,0,0,0,0,0,0,0,0.15249857,0,0,0,0,0.15249857,0,0.15249857,0,0.15249857,0,0,0.15249857,0.15249857,0,0.15249857,0.304997141,0,0,0.15249857,0,0.15249857,0.15249857,0.15249857,0,0,0,0,0.15249857,0.15249857,0.15249857,0,0,0,0.15249857,0,0.15249857,0.15249857,0.15249857,0,0,0,0.15249857,0.15249857,0,0,0.15249857,0.15249857,0,0.15249857,0.15249857,0,0,0.15249857
8p11.1,0,0,0,0,0,0,0,0.136082763,0,0.136082763,0,0,0,0.136082763,0.136082763,0.136082763,0,0,0,0.136082763,0,0,0,0.136082763,0.136082763,0,0,0,0,0,0,0,0,0,0.136082763,0,0,0.136082763,0,0,0.136082763,0.136082763,0.136082763,0,0.136082763,0,0.136082763,0.136082763,0.136082763,0.136082763,0,0,0.136082763,0.136082763,0,0,0,0,0.272165527,0.136082763,0,0.136082763,0,0,0,0.272165527,0.136082763,0,0,0.136082763,0,0,0,0.136082763,0,0,0,0,0,0,0.136082763,0.136082763,0.136082763,0.136082763,0,0,0,0,0,0.136082763,0,0,0.136082763,0.136082763,0,0.136082763,0,0,0,0,0,0.136082763,0,0.136082763,0.272165527,0,0.136082763,0,0,0,0,0,0.272165527,0.136082763,0.136082763,0,0,0,0,0,0
8q11.1,0,0,0,0,0,0,0,0.136082763,0,0.136082763,0,0,0,0.136082763,0.136082763,0.136082763,0,0,0,0.136082763,0,0,0,0.136082763,0.136082763,0,0,0,0,0,0,0,0,0,0.136082763,0,0,0.136082763,0,0,0.136082763,0.136082763,0.136082763,0,0.136082763,0,0.136082763,0.136082763,0.136082763,0.136082763,0,0,0.136082763,0.136082763,0,0,0,0,0.272165527,0.136082763,0,0.136082763,0,0,0,0.272165527,0.136082763,0,0,0.136082763,0,0,0,0.136082763,0,0,0,0,0,0,0.136082763,0.136082763,0.136082763,0.136082763,0,0,0,0,0,0.136082763,0,0,0.136082763,0.136082763,0,0.136082763,0,0,0,0,0,0.136082763,0,0.136082763,0.272165527,0,0.136082763,0,0,0,0,0,0.272165527,0.136082763,0.136082763,0,0,0,0,0,0
8q11.21,0,0,0,0,0,0,0,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0.138675049,0,0,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0,0,0.138675049,0,0,0.138675049,0.138675049,0.138675049,0,0.138675049,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0.138675049,0.138675049,0,0,0,0,0.277350098,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0.138675049,0,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0,0,0,0.138675049,0,0,0.138675049,0.138675049,0,0.138675049,0,0,0,0,0,0.138675049,0,0.138675049,0.277350098,0,0.138675049,0,0,0,0,0,0.277350098,0.138675049,0.138675049,0,0,0,0,0,0
8q11.22,0,0,0,0,0,0,0,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0.138675049,0,0,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0,0,0.138675049,0,0,0.138675049,0.138675049,0.138675049,0,0.138675049,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0.138675049,0.138675049,0,0,0,0,0.277350098,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0,0,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0,0.138675049,0,0.138675049,0,0,0.138675049,0.138675049,0,0.138675049,0,0,0,0,0,0.138675049,0,0.138675049,0.277350098,0,0.138675049,0,0,0,0,0,0.277350098,0.138675049,0.138675049,0,0,0,0,0,0
8q11.23,0,0,0,0,0,0,0,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0.138675049,0,0,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0,0,0.138675049,0,0,0.138675049,0.138675049,0.138675049,0,0.138675049,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0.138675049,0.138675049,0,0,0,0,0.277350098,0.138675049,0,0.138675049,0,0,0,0.138675049,0.138675049,0,0,0,0,0,0,0.138675049,0,0,0,0,0,0,0.138675049,0.138675049,0.138675049,0.138675049,0,0,0,0.138675049,0,0.138675049,0,0,0.138675049,0.138675049,0,0.138675049,0,0,0,0,0,0.138675049,0,0.138675049,0.277350098,0,0.138675049,0,0,0,0,0,0.277350098,0.138675049,0.138675049,0,0,0,0,0,0
8q12.1,0,0,0,0,0,0,0,0.137360564,0,0.137360564,0.137360564,0,0,0.137360564,0.137360564,0.137360564,0,0,0,0.137360564,0,0,0,0.137360564,0.137360564,0,0,0.137360564,0,0,0,0,0,0,0.137360564,0,0,0.137360564,0,0,0.137360564,0.137360564,0.137360564,0,0.137360564,0,0.137360564,0.137360564,0.137360564,0.137360564,0,0,0.137360564,0.137360564,0,0,0,0,0.274721128,0.137360564,0,0.137360564,0,0,0,0.137360564,0.137360564,0,0,0,0,0,0,0.137360564,0,0,0,0,0,0,0.137360564,0.137360564,0.137360564,0.137360564,0,0,0,0.137360564,0,0.137360564,0,0,0.137360564,0.137360564,0,0.137360564,0,0,0,0,0,0.137360564,0,0.137360564,0.274721128,0,0.137360564,0,0,0,0,0,0.274721128,0.137360564,0.137360564,0,0,0,0,0,0
8q24.3,0,0,0,0,0,0,0,0.124034735,0,0.124034735,0.248069469,0,0,0.124034735,0.124034735,0.124034735,0,0,0,0.248069469,0.124034735,0,0,0.124034735,0.124034735,0,0,0.124034735,0,0,0,0,0,0,0.124034735,0,0,0.124034735,0,0,0.124034735,0.124034735,0.124034735,0,0.124034735,0,0.124034735,0.124034735,0.124034735,0.124034735,0,0,0.124034735,0.124034735,0,0.124034735,0,0,0.248069469,0.124034735,0,0.124034735,0,0,0,0.124034735,0.124034735,0,0,0,0,0,0.124034735,0.124034735,0,0,0,0,0,0,0.124034735,0.124034735,0.124034735,0,0,0,0,0.124034735,0,0.124034735,0,0,0.124034735,0.124034735,0,0.124034735,0,0,0,0,0,0.124034735,0,0.124034735,0.248069469,0,0.248069469,0,0,0,0,0,0.248069469,0.124034735,0.124034735,0,0,0,0,0,0.124034735
8q24.23,0,0,0,0,0,0,0,0.123091491,0,0.123091491,0.246182982,0,0,0.123091491,0.123091491,0.123091491,0,0,0,0.246182982,0.123091491,0,0,0.123091491,0.123091491,0,0,0.123091491,0,0,0,0,0,0,0.123091491,0,0,0.123091491,0,0,0.123091491,0.123091491,0.123091491,0,0.123091491,0,0.123091491,0.123091491,0.123091491,0.123091491,0,0,0.123091491,0.123091491,0,0.123091491,0,0,0.246182982,0.123091491,0,0.123091491,0,0,0,0.123091491,0.123091491,0,0,0.123091491,0,0,0.123091491,0.123091491,0,0,0,0,0,0,0.123091491,0.123091491,0.123091491,0,0,0,0,0.123091491,0,0.123091491,0,0,0.123091491,0.123091491,0,0.123091491,0,0,0,0,0,0.123091491,0,0.123091491,0.246182982,0,0.246182982,0,0,0,0,0,0.246182982,0.123091491,0.123091491,0,0,0,0,0,0.123091491
8q12.2,0,0,0,0,0,0,0,0.133630621,0,0.133630621,0.133630621,0,0,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0.133630621,0,0,0,0,0,0,0.133630621,0,0,0.133630621,0,0,0.133630621,0.133630621,0.133630621,0,0.133630621,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0.133630621,0.133630621,0,0,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0,0,0,0,0.133630621,0,0,0,0,0,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0.133630621,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0,0,0.133630621,0,0.133630621,0.267261242,0,0.133630621,0,0,0,0,0,0.267261242,0.133630621,0.133630621,0,0,0,0,0,0
8q12.3,0,0,0,0,0,0,0,0.133630621,0,0.133630621,0.133630621,0,0,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0.133630621,0,0,0,0,0,0,0.133630621,0,0,0.133630621,0,0,0.133630621,0.133630621,0.133630621,0,0.133630621,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0.133630621,0.133630621,0,0,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0.133630621,0.133630621,0,0,0,0,0,0,0.133630621,0,0,0,0,0,0,0.133630621,0.133630621,0.133630621,0.133630621,0,0,0,0.133630621,0,0.133630621,0,0,0.267261242,0.133630621,0,0.133630621,0,0,0,0,0,0.133630621,0,0.133630621,0.267261242,0,0.133630621,0,0,0,0,0,0.267261242,0.133630621,0.133630621,0,0,0,0,0,0
8q13.1,0,0,0,0,0,0,0.25819889,0.129099445,0,0.129099445,0.129099445,0,0,0.129099445,0.129099445,0.129099445,0,0,0,0.129099445,0,0,0,0.129099445,0.129099445,0,0,0.129099445,0,0,0,0,0,0,0.129099445,0,0,0.129099445,0,0,0.129099445,0.129099445,0.129099445,0,0.129099445,0,0.129099445,0.129099445,0.129099445,0.129099445,0,0,0.129099445,0.129099445,0,0,0,0,0.25819889,0.129099445,0,0.129099445,0,0,0,0.129099445,0.129099445,0,0,0,0,0,0,0.129099445,0,0,0,0,0,0,0.129099445,0.129099445,0.129099445,0.129099445,0,0,0,0.129099445,0,0.129099445,0,0,0.25819889,0.129099445,0,0.129099445,0,0,0,0,0,0.129099445,0,0.129099445,0.25819889,0,0.129099445,0,0,0,0,0,0.25819889,0.129099445,0.129099445,0,0,0,0,0,0
